2025-09-09 17:40:59 startup packages remove
2025-09-09 17:40:59 status installed avahi-utils:amd64 0.8-13ubuntu6
2025-09-09 17:41:06 remove avahi-utils:amd64 0.8-13ubuntu6 <none>
2025-09-09 17:41:06 status half-configured avahi-utils:amd64 0.8-13ubuntu6
2025-09-09 17:41:06 status half-installed avahi-utils:amd64 0.8-13ubuntu6
2025-09-09 17:41:06 status triggers-pending man-db:amd64 2.12.0-4build2
2025-09-09 17:41:06 status config-files avahi-utils:amd64 0.8-13ubuntu6
2025-09-09 17:41:06 status not-installed avahi-utils:amd64 <none>
2025-09-09 17:41:06 status installed dh-elpa-helper:all 2.0.17ubuntu1
2025-09-09 17:41:06 remove dh-elpa-helper:all 2.0.17ubuntu1 <none>
2025-09-09 17:41:06 status half-configured dh-elpa-helper:all 2.0.17ubuntu1
2025-09-09 17:41:06 status half-installed dh-elpa-helper:all 2.0.17ubuntu1
2025-09-09 17:41:06 status config-files dh-elpa-helper:all 2.0.17ubuntu1
2025-09-09 17:41:06 status not-installed dh-elpa-helper:all <none>
2025-09-09 17:41:06 status installed fonts-liberation2:all 1:2.1.5-3
2025-09-09 17:41:06 remove fonts-liberation2:all 1:2.1.5-3 <none>
2025-09-09 17:41:06 status half-configured fonts-liberation2:all 1:2.1.5-3
2025-09-09 17:41:06 status half-installed fonts-liberation2:all 1:2.1.5-3
2025-09-09 17:41:06 status config-files fonts-liberation2:all 1:2.1.5-3
2025-09-09 17:41:06 status not-installed fonts-liberation2:all <none>
2025-09-09 17:41:06 status installed gcc-12-base:amd64 12.3.0-17ubuntu1
2025-09-09 17:41:06 remove gcc-12-base:amd64 12.3.0-17ubuntu1 <none>
2025-09-09 17:41:06 status half-configured gcc-12-base:amd64 12.3.0-17ubuntu1
2025-09-09 17:41:06 status half-installed gcc-12-base:amd64 12.3.0-17ubuntu1
2025-09-09 17:41:06 status config-files gcc-12-base:amd64 12.3.0-17ubuntu1
2025-09-09 17:41:06 status not-installed gcc-12-base:amd64 <none>
2025-09-09 17:41:06 status installed genisoimage:amd64 9:1.1.11-3.2ubuntu1
2025-09-09 17:41:06 remove genisoimage:amd64 9:1.1.11-3.2ubuntu1 <none>
2025-09-09 17:41:06 status half-configured genisoimage:amd64 9:1.1.11-3.2ubuntu1
2025-09-09 17:41:06 status half-installed genisoimage:amd64 9:1.1.11-3.2ubuntu1
2025-09-09 17:41:06 status config-files genisoimage:amd64 9:1.1.11-3.2ubuntu1
2025-09-09 17:41:06 status not-installed genisoimage:amd64 <none>
2025-09-09 17:41:06 status installed gir1.2-goa-1.0:amd64 3.50.4-0ubuntu2
2025-09-09 17:41:06 remove gir1.2-goa-1.0:amd64 3.50.4-0ubuntu2 <none>
2025-09-09 17:41:06 status half-configured gir1.2-goa-1.0:amd64 3.50.4-0ubuntu2
2025-09-09 17:41:06 status half-installed gir1.2-goa-1.0:amd64 3.50.4-0ubuntu2
2025-09-09 17:41:06 status config-files gir1.2-goa-1.0:amd64 3.50.4-0ubuntu2
2025-09-09 17:41:06 status not-installed gir1.2-goa-1.0:amd64 <none>
2025-09-09 17:41:06 status installed gir1.2-rb-3.0:amd64 3.4.7-2ubuntu6
2025-09-09 17:41:06 remove gir1.2-rb-3.0:amd64 3.4.7-2ubuntu6 <none>
2025-09-09 17:41:06 status half-configured gir1.2-rb-3.0:amd64 3.4.7-2ubuntu6
2025-09-09 17:41:06 status half-installed gir1.2-rb-3.0:amd64 3.4.7-2ubuntu6
2025-09-09 17:41:06 status config-files gir1.2-rb-3.0:amd64 3.4.7-2ubuntu6
2025-09-09 17:41:06 status not-installed gir1.2-rb-3.0:amd64 <none>
2025-09-09 17:41:06 status installed gir1.2-gst-plugins-base-1.0:amd64 1.24.2-1ubuntu0.3
2025-09-09 17:41:06 remove gir1.2-gst-plugins-base-1.0:amd64 1.24.2-1ubuntu0.3 <none>
2025-09-09 17:41:06 status half-configured gir1.2-gst-plugins-base-1.0:amd64 1.24.2-1ubuntu0.3
2025-09-09 17:41:06 status half-installed gir1.2-gst-plugins-base-1.0:amd64 1.24.2-1ubuntu0.3
2025-09-09 17:41:06 status config-files gir1.2-gst-plugins-base-1.0:amd64 1.24.2-1ubuntu0.3
2025-09-09 17:41:06 status not-installed gir1.2-gst-plugins-base-1.0:amd64 <none>
